config_id,indicators_long,indicators_short,strategies,filters,strength,symbol,interval
trend_strong_1,"{""ema"": {""periods"": [8, 21, 50]}, ""macd"": {""fast"": 12, ""slow"": 26, ""signal"": 9}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [8, 21, 50]}, ""macd"": {""fast"": 12, ""slow"": 26, ""signal"": 9}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 8, ""ema_long"": 21}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 25}, ""market_regime"": {""trend_threshold"": 0.7}, ""min_checks"": 3, ""min_strength"": 70}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 3.5}, ""market_context_strength"": {""weight"": 1.3}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",ETHUSDT,5m
trend_strong_2,"{""supertrend"": {""period"": 10, ""multiplier"": 2.5}, ""rsi"": {""period"": 14}, ""ema"": {""periods"": [9, 21]}, ""atr"": {""period"": 14}}","{""supertrend"": {""period"": 10, ""multiplier"": 2.5}, ""rsi"": {""period"": 14}, ""ema"": {""periods"": [9, 21]}, ""atr"": {""period"": 14}}","{""adaptive_trend"": {""lookback"": 20, ""volatility_factor"": 1.8}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""volatility_regime"": {""atr_threshold"": 1.3}, ""trend_strength"": {""min_adx"": 25}, ""min_checks"": 3, ""min_strength"": 75}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.0}, ""indicator_confirmation_strength"": {""base_strength"": 60}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",BTCUSDT,5m
momentum_break_1,"{""rsi"": {""period"": 14}, ""stochastic"": {""k"": 14, ""d"": 3}, ""macd"": {""fast"": 12, ""slow"": 26, ""signal"": 9}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 14}, ""stochastic"": {""k"": 14, ""d"": 3}, ""macd"": {""fast"": 12, ""slow"": 26, ""signal"": 9}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 1.8}, ""range_breakout"": {""range_threshold"": 0.01}, ""overextended_reversal"": {""rsi_overbought"": 75, ""rsi_oversold"": 25}}","{""market_regime"": {""trend_threshold"": 0.65}, ""volatility_regime"": {""atr_threshold"": 1.4}, ""min_checks"": 3, ""min_strength"": 75}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 3.5}, ""market_context_strength"": {""weight"": 1.2}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",SOLUSDT,5m
vol_break_1,"{""bollinger"": {""period"": 20, ""std"": 2.0}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 14}}","{""bollinger"": {""period"": 20, ""std"": 2.0}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 14}}","{""volatility_breakout"": {""atr_multiplier"": 2.0}, ""range_breakout"": {""range_threshold"": 0.012}}","{""volatility_regime"": {""atr_threshold"": 1.5}, ""market_regime"": {""trend_threshold"": 0.6}, ""min_checks"": 3, ""min_strength"": 80}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.0}, ""market_context_strength"": {""weight"": 1.3}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",ETHUSDT,5m
hybrid_1,"{""ema"": {""periods"": [8, 21]}, ""rsi"": {""period"": 14}, ""macd"": {""fast"": 12, ""slow"": 26, ""signal"": 9}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 10, ""multiplier"": 2.5}}","{""ema"": {""periods"": [8, 21]}, ""rsi"": {""period"": 14}, ""macd"": {""fast"": 12, ""slow"": 26, ""signal"": 9}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 10, ""multiplier"": 2.5}}","{""adaptive_trend"": {""lookback"": 20, ""volatility_factor"": 1.6}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}, ""volatility_breakout"": {""atr_multiplier"": 1.8}}","{""trend_strength"": {""min_adx"": 25}, ""volatility_regime"": {""atr_threshold"": 1.4}, ""market_regime"": {""trend_threshold"": 0.65}, ""min_checks"": 3, ""min_strength"": 75}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 3.8}, ""market_context_strength"": {""weight"": 1.3}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",BTCUSDT,5m
trend_strong_3,"{""ema"": {""periods"": [5, 13, 34]}, ""macd"": {""fast"": 8, ""slow"": 21, ""signal"": 8}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""ema"": {""periods"": [5, 13, 34]}, ""macd"": {""fast"": 8, ""slow"": 21, ""signal"": 8}, ""adx"": {""period"": 14}, ""atr"": {""period"": 14}}","{""trend_following"": {""ema_short"": 5, ""ema_long"": 13}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""trend_strength"": {""min_adx"": 28}, ""market_regime"": {""trend_threshold"": 0.75}, ""min_checks"": 3, ""min_strength"": 75}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 3.8}, ""market_context_strength"": {""weight"": 1.4}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",SOLUSDT,5m
trend_strong_4,"{""supertrend"": {""period"": 12, ""multiplier"": 2.8}, ""rsi"": {""period"": 14}, ""ema"": {""periods"": [8, 34]}, ""atr"": {""period"": 14}}","{""supertrend"": {""period"": 12, ""multiplier"": 2.8}, ""rsi"": {""period"": 14}, ""ema"": {""periods"": [8, 34]}, ""atr"": {""period"": 14}}","{""adaptive_trend"": {""lookback"": 25, ""volatility_factor"": 2.0}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}}","{""volatility_regime"": {""atr_threshold"": 1.4}, ""trend_strength"": {""min_adx"": 28}, ""min_checks"": 3, ""min_strength"": 78}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.2}, ""indicator_confirmation_strength"": {""base_strength"": 65}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",ETHUSDT,5m
momentum_break_2,"{""rsi"": {""period"": 13}, ""stochastic"": {""k"": 13, ""d"": 3}, ""macd"": {""fast"": 8, ""slow"": 21, ""signal"": 8}, ""volume_sma"": {""period"": 20}}","{""rsi"": {""period"": 13}, ""stochastic"": {""k"": 13, ""d"": 3}, ""macd"": {""fast"": 8, ""slow"": 21, ""signal"": 8}, ""volume_sma"": {""period"": 20}}","{""volatility_breakout"": {""atr_multiplier"": 2.0}, ""range_breakout"": {""range_threshold"": 0.012}, ""overextended_reversal"": {""rsi_overbought"": 78, ""rsi_oversold"": 22}}","{""market_regime"": {""trend_threshold"": 0.68}, ""volatility_regime"": {""atr_threshold"": 1.5}, ""min_checks"": 3, ""min_strength"": 78}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 3.8}, ""market_context_strength"": {""weight"": 1.3}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",BTCUSDT,5m
vol_break_2,"{""bollinger"": {""period"": 20, ""std"": 2.2}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 13}}","{""bollinger"": {""period"": 20, ""std"": 2.2}, ""atr"": {""period"": 14}, ""volume_sma"": {""period"": 20}, ""rsi"": {""period"": 13}}","{""volatility_breakout"": {""atr_multiplier"": 2.2}, ""range_breakout"": {""range_threshold"": 0.014}}","{""volatility_regime"": {""atr_threshold"": 1.6}, ""market_regime"": {""trend_threshold"": 0.62}, ""min_checks"": 3, ""min_strength"": 82}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.2}, ""market_context_strength"": {""weight"": 1.4}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.4, ""1h"": 0.4, ""4h"": 0.2}}}",SOLUSDT,5m
hybrid_2,"{""ema"": {""periods"": [5, 13]}, ""rsi"": {""period"": 13}, ""macd"": {""fast"": 8, ""slow"": 21, ""signal"": 8}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 12, ""multiplier"": 2.8}}","{""ema"": {""periods"": [5, 13]}, ""rsi"": {""period"": 13}, ""macd"": {""fast"": 8, ""slow"": 21, ""signal"": 8}, ""atr"": {""period"": 14}, ""supertrend"": {""period"": 12, ""multiplier"": 2.8}}","{""adaptive_trend"": {""lookback"": 25, ""volatility_factor"": 1.8}, ""mtf_trend"": {""timeframes"": [""15m"", ""1h"", ""4h""]}, ""volatility_breakout"": {""atr_multiplier"": 2.0}}","{""trend_strength"": {""min_adx"": 28}, ""volatility_regime"": {""atr_threshold"": 1.5}, ""market_regime"": {""trend_threshold"": 0.68}, ""min_checks"": 3, ""min_strength"": 78}","{""risk_reward_strength"": {""risk_factor"": 1.0, ""reward_factor"": 4.0}, ""market_context_strength"": {""weight"": 1.4}, ""mtf_strength"": {""timeframe_weights"": {""15m"": 0.3, ""1h"": 0.4, ""4h"": 0.3}}}",ETHUSDT,5m
