config_id,time,exit_time,direction,entry_price,exit_price,outcome,entry_bar,exit_bar,bars_held,highest_price_reached,lowest_price_reached,sl,tp,rr_ratio,risk_distance_pct,reward_distance_pct,position_size,position_value,leverage_used,risk_amount,gross_pnl,net_pnl,price_change_pct,total_commission,slippage_cost,gain_pct,gain_usd,commission,signal_strength,signal_passed_filter,atr,volatility_regime
default,2025-05-18 19:05:00,2025-05-18 19:15:00,SHORT,1.2885,1.281173076923077,TP,8,10,2,1.2891,1.2793,1.2982692307692307,1.281173076923077,0.75,0.7581863227963331,0.5686397420972499,5000.0,500.0,10.0,50.0,2.859458729229547,1.6065992705003174,0.5718917458459094,1.0028594587292297,0.25,0.5718917458459094,1.6065992705003174,1.0028594587292297,42,True,0.00488461538461541,normal
default,2025-05-18 19:00:00,2025-05-18 19:20:00,SHORT,1.2835,1.2932692307692308,SL,7,11,4,1.2933,1.277,1.2932692307692308,1.276173076923077,0.75,0.7611399118995521,0.570854933924664,5000.0,500.0,10.0,50.0,-3.776951672862461,-5.023174721189598,-0.7553903345724922,0.9962230483271375,0.25,-0.7553903345724922,-5.023174721189598,0.9962230483271375,42,True,0.00488461538461541,normal
default,2025-05-18 19:35:00,2025-05-18 19:50:00,SHORT,1.2692,1.252380867346939,TP,14,17,3,1.271,1.2488,1.2916255102040817,1.252380867346939,0.7499999999999976,1.7669012136843336,1.3251759102632459,4982.917122746554,498.29171227465537,10.0,49.82917122746554,6.691921465091121,5.439500262939391,1.3429726604408332,1.003275346014402,0.24914585613732768,1.3429726604408332,5.439500262939391,1.003275346014402,45,True,0.011212755102040794,normal
default,2025-05-18 19:45:00,2025-05-18 20:00:00,SHORT,1.2636,1.246277635620575,TP,16,19,3,1.2666,1.2315,1.2866964858392336,1.246277635620575,0.75,1.8278320543869513,1.3708740407902134,4982.917122746554,498.29171227465537,10.0,49.82917122746554,6.925897055812278,5.6732418780698275,1.3899282057484363,1.003509321605123,0.24914585613732768,1.3899282057484363,5.6732418780698275,1.003509321605123,45,True,0.011548242919616796,normal
default,2025-05-18 19:55:00,2025-05-18 20:00:00,SHORT,1.2555,1.237785818468761,TP,18,19,1,1.2589,1.2315,1.2791189087083188,1.237785818468761,0.7500000000000047,1.8812352615148333,1.4109264461361337,5010.114624061251,501.0114624061251,10.0,50.10114624061251,7.1700676012533435,5.9103688776367775,1.4311184751779615,1.0091929924135035,0.2505057312030625,1.4311184751779615,5.9103688776367775,1.0091929924135035,45,True,0.011809454354159374,normal
default,2025-05-18 20:30:00,2025-05-18 20:45:00,SHORT,1.2434,1.2685669709205891,SL,25,28,3,1.2689,1.2424,1.2685669709205891,1.2245247718095584,0.7499999999999933,2.0240446292897745,1.5180334719673176,5068.032677839784,506.80326778397836,10.0,50.68032677839784,-10.054418406875968,-11.31137215792904,-1.9838898140573158,1.0035521171610808,0.25340163389198916,-1.9838898140573158,-11.31137215792904,1.0035521171610808,47,True,0.012583485460294487,high
default,2025-05-18 20:05:00,2025-05-18 21:00:00,SHORT,1.2531,1.2801428345495198,SL,20,31,11,1.2828,1.2374,1.2801428345495198,1.2328178740878604,0.749999999999998,2.1580747386098253,1.6185560539573645,5068.032677839784,506.80326778397836,10.0,50.68032677839784,-10.706146650159535,-11.962448672969323,-2.1124857179735,1.0029003889177972,0.25340163389198916,-2.1124857179735,-11.962448672969323,1.0029003889177972,43,True,0.013521417274759867,high
default,2025-05-18 20:10:00,2025-05-18 21:00:00,SHORT,1.2452,1.271982632081697,SL,21,31,10,1.2828,1.2374,1.271982632081697,1.2251130259387275,0.7499999999999979,2.1508699069785453,1.6131524302339044,5068.032677839784,506.80326778397836,10.0,50.68032677839784,-10.671156285086916,-11.927493298261776,-2.1055815862725313,1.00293537928287,0.25340163389198916,-2.1055815862725313,-11.927493298261776,1.00293537928287,45,True,0.01339131604084845,high
default,2025-05-18 20:15:00,2025-05-18 21:00:00,SHORT,1.249,1.2751838726472902,SL,22,31,9,1.2828,1.2374,1.2751838726472902,1.2293620955145326,0.75,2.09638692132026,1.572290190990195,5068.032677839784,506.80326778397836,10.0,50.68032677839784,-10.406399034311296,-11.663000804736932,-2.053340950190352,1.0032001365336454,0.25340163389198916,-2.053340950190352,-11.663000804736932,1.0032001365336454,45,True,0.013091936323644996,high
default,2025-05-18 20:25:00,2025-05-18 21:00:00,SHORT,1.2471,1.2725105840683266,SL,24,31,7,1.2828,1.2374,1.2725105840683266,1.228042061948755,0.7500000000000043,2.037573896906946,1.5281804226802185,5068.032677839784,506.80326778397836,10.0,50.68032677839784,-10.120282851365186,-11.377170737973767,-1.9968858716354787,1.0034862527165915,0.25340163389198916,-1.9968858716354787,-11.377170737973767,1.0034862527165915,44,True,0.0127052920341633,high
