open_time,open,high,low,close,volume,volume,quote_asset_volume,taker_buy_base_volume,taker_buy_quote_volume,volume_sma
1747592700000,1.2971,1.3015,1.2891,1.3013,595877.8,595877.8,772050.4222,323695.2,419592.06015,
1747593000000,1.3012,1.3015,1.2881,1.2922,637402.0,637402.0,825041.06993,265259.1,343436.01128,
1747593300000,1.2921,1.296,1.2874,1.293,429020.7,429020.7,554093.87934,222734.2,287750.26714,
1747593600000,1.293,1.2965,1.2882,1.2884,376013.8,376013.8,485600.72324,194821.3,251639.32792,
1747593900000,1.2883,1.2911,1.2756,1.2794,541293.5,541293.5,694344.9918,236992.5,304220.81925,
1747594200000,1.2793,1.2829,1.2743,1.2808,707232.5,707232.5,904539.03579,375021.0,479782.46058,
1747594500000,1.2806,1.2841,1.2759,1.2823,360882.3,360882.3,461690.52837,171117.8,218984.11372,
1747594800000,1.282,1.2916,1.2804,1.2835,461154.8,461154.8,593011.44453,281881.8,362636.31563,
1747595100000,1.2834,1.289,1.2776,1.2885,370186.7,370186.7,475430.2539,213124.5,273835.43413,
1747595400000,1.2886,1.2891,1.2846,1.2863,309959.6,309959.6,398783.01811,175884.4,226291.18728,
1747595700000,1.2861,1.2872,1.2793,1.2815,353021.8,353021.8,452785.62367,162225.9,208114.58483,
1747596000000,1.2816,1.2933,1.277,1.293,399593.3,399593.3,512296.25933,224845.7,288680.00952,
1747596300000,1.293,1.2957,1.29,1.2915,425491.7,425491.7,550022.53546,231794.8,299680.70678,
1747596600000,1.2913,1.2913,1.2636,1.2686,1152953.0,1152953.0,1469376.98881,442653.6,564205.49573,
1747596900000,1.2685,1.2757,1.2672,1.2692,479715.8,479715.8,609582.19987,252316.7,320729.83958,
1747597200000,1.2691,1.271,1.2531,1.2647,1627839.3,1627839.3,2051440.97359,601653.7,758648.24798,
1747597500000,1.2644,1.2705,1.2608,1.2636,427204.6,427204.6,541213.90748,239716.4,303845.72523,
1747597800000,1.2633,1.2666,1.2488,1.2528,1078843.6,1078843.6,1353067.40197,339418.6,426007.3499,
1747598100000,1.2529,1.2585,1.2491,1.2555,505054.7,505054.7,633931.78232,242360.7,304325.64565,
1747598400000,1.2555,1.2589,1.2315,1.2467,2807902.6,2807902.6,3491284.28035,1281732.7,1594233.97627,
1747598700000,1.2467,1.2554,1.2341,1.2531,1290559.2,1290559.2,1609899.01203,595421.8,744101.27266,
1747599000000,1.2532,1.254,1.2423,1.2452,635883.7,635883.7,792971.04618,288621.2,359955.87014,
1747599300000,1.245,1.2516,1.2424,1.249,549480.6,549480.6,685605.61893,273625.5,341511.29486,
1747599600000,1.2491,1.2517,1.2424,1.243,626617.5,626617.5,781411.47264,307639.5,383687.84955,
1747599900000,1.243,1.2518,1.2406,1.2471,471396.5,471396.5,587544.56212,223593.9,278784.18083,
1747600200000,1.2473,1.2484,1.2374,1.2434,666136.3,666136.3,827298.23589,296137.6,367798.78248,
1747600500000,1.2438,1.2572,1.2424,1.254,547078.9,547078.9,684155.78678,312753.2,391076.05617,
1747600800000,1.2539,1.2609,1.2486,1.2589,511403.8,511403.8,641942.12587,300385.3,377197.92606,
1747601100000,1.259,1.2689,1.2579,1.2638,708391.4,708391.4,894433.80258,416830.1,526461.62779,
1747601400000,1.2637,1.2637,1.2544,1.2547,627501.4,627501.4,789796.56267,189585.7,238702.83625,
1747601700000,1.2548,1.2644,1.2543,1.2609,335968.4,335968.4,423211.26679,194960.2,245678.56057,
1747602000000,1.261,1.2828,1.2608,1.2812,869713.8,869713.8,1109324.41295,528158.1,673485.52248,
1747602300000,1.2813,1.2932,1.2809,1.2885,922380.5,922380.5,1187008.75807,481832.6,620054.51327,
1747602600000,1.2884,1.2901,1.2818,1.2875,715622.4,715622.4,920183.31714,285075.9,366565.30163,
1747602900000,1.2876,1.2919,1.2827,1.2874,575142.3,575142.3,740186.74361,245674.8,316290.43131,
1747603200000,1.2876,1.299,1.2864,1.2975,649135.6,649135.6,839468.66992,432388.1,559382.23797,
1747603500000,1.2976,1.3033,1.2951,1.3018,522358.5,522358.5,678267.69805,296698.5,385349.90924,
1747603800000,1.3016,1.315,1.2999,1.3039,950749.1,950749.1,1243240.5067,540459.8,707009.68585,
1747604100000,1.3038,1.3142,1.2956,1.3109,506652.0,506652.0,660916.26025,231235.4,301745.77549,
1747604400000,1.3109,1.3138,1.3051,1.3132,310905.0,310905.0,407367.22424,151287.9,198196.25645,
1747604700000,1.3128,1.3176,1.3086,1.3153,270808.1,270808.1,355580.26455,155237.8,203865.82568,
1747605000000,1.3153,1.3155,1.3014,1.309,424538.1,424538.1,555273.78711,162980.8,213127.54445,
1747605300000,1.3094,1.3107,1.3027,1.3055,272881.4,272881.4,356657.58241,101624.2,132848.62904,
1747605600000,1.3056,1.3093,1.2876,1.2944,1181382.4,1181382.4,1529853.43766,539311.1,699040.94223,
1747605900000,1.2947,1.3003,1.2905,1.2939,425622.9,425622.9,550839.36002,215688.8,279245.10009,
1747606200000,1.2935,1.2947,1.2829,1.2866,509276.1,509276.1,656235.83569,202400.9,260928.68503,
1747606500000,1.2865,1.2891,1.2761,1.285,708259.0,708259.0,907175.36892,333750.5,427637.38779,
1747606800000,1.285,1.298,1.2847,1.2972,792007.0,792007.0,1021467.15427,430283.6,554912.01669,
1747607100000,1.2972,1.3048,1.2967,1.3035,552756.7,552756.7,719478.74677,312320.1,406605.77339,
1747607400000,1.3033,1.3271,1.3025,1.3241,1033788.4,1033788.4,1361570.10993,586351.0,772427.78652,
1747607700000,1.3241,1.3247,1.3086,1.3143,485879.4,485879.4,639640.03856,179803.5,236548.86306,
1747608000000,1.3139,1.3248,1.3139,1.3214,418505.5,418505.5,552808.7956,217169.5,286863.02053,
1747608300000,1.3214,1.3233,1.3121,1.3135,460689.8,460689.8,606760.98142,191385.2,252130.49213,
1747608600000,1.3133,1.3361,1.3118,1.3268,977910.1,977910.1,1295124.55733,700949.9,928640.77115,
1747608900000,1.3269,1.3438,1.3264,1.339,840589.3,840589.3,1123347.61223,487398.2,651480.97102,
1747609200000,1.339,1.339,1.3171,1.3249,795598.3,795598.3,1055128.08238,320628.6,424919.39345,
1747609500000,1.3247,1.3258,1.3142,1.3155,279423.6,279423.6,368344.91529,113080.8,149089.14638,
1747609800000,1.3156,1.3182,1.3052,1.3097,530553.2,530553.2,695487.24607,217995.4,285861.97892,
1747610100000,1.3096,1.3118,1.3055,1.3104,270984.9,270984.9,354522.35875,137006.8,179278.18274,
1747610400000,1.3106,1.3184,1.3078,1.3171,300736.1,300736.1,395490.88582,127674.4,167874.87151,
1747610700000,1.3171,1.3271,1.3168,1.3267,248829.2,248829.2,328811.62868,109939.4,145305.04071,
1747611000000,1.3265,1.3352,1.3209,1.3212,510725.5,510725.5,678788.12277,225697.5,300190.4307,
1747611300000,1.321,1.3312,1.3194,1.329,288045.9,288045.9,381989.36008,128956.8,170979.15718,
